[2026-02-01 18:08:27] [INFO    ] discord.client: logging in using static token
[2026-02-01 18:08:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Anteiku Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1467405172832604284', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9187', 'clan': None, 'bot': True, 'avatar': '48e78957a14a1cd1472b803e09e18283'}, 'session_type': 'normal', 'session_id': 'bb5e49dfb40f74b51f0070692cd988bf', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1031536122179887144'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['dubai', 'saudi-arabia', 'tel-aviv', 'india', 'bucharest'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1467405172832604284', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-d4pk",{"micros":221778,"calls":["id_created",{"micros":824,"calls":[]},"session_lookup_time",{"micros":520,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-10",{"micros":220000,"calls":["start_session",{"micros":197621,"calls":["discord-api-rpc-565869498d-g7rtq",{"micros":56705,"calls":["get_user",{"micros":7104},"get_guilds",{"micros":5864},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":354},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":612},"apex_experiments",{"micros":132622},"user_activities",{"micros":5},"played_application_ids",{"micros":3},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":11707,"calls":[]},"guilds_started",{"micros":70,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":10495,"calls":[]},"connect_finished",{"micros":10553,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-02-01 18:08:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-01 18:08:29] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: bb5e49dfb40f74b51f0070692cd988bf).
[2026-02-01 18:08:29] [DEBUG   ] discord.client: Dispatching event connect
[2026-02-01 18:08:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'discovery_splash': None, 'max_video_channel_users': 25, 'owner_configured_content_level': 0, 'nsfw': False, 'banner': None, 'home_header': None, 'profile': None, 'members': [{'user': {'username': 'Anteiku Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1467405172832604284', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9187', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '48e78957a14a1cd1472b803e09e18283'}, 'roles': ['1467409934575730886'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-01T06:43:11.644594+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'stickers': [], 'region': 'deprecated', 'icon': None, 'id': '1031536122179887144', 'member_count': 11, 'name': 'Hell', 'incidents_data': None, 'roles': [{'version': 1769956300747, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2222085186637377', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1031536122179887144', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324310, 'unicode_emoji': None, 'tags': {}, 'position': 14, 'permissions': '4503599895807000', 'name': 'An onwner', 'mentionable': False, 'managed': False, 'id': '1072894945742037033', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 7419530}, 'color': 7419530}, {'version': 1769956324308, 'unicode_emoji': None, 'tags': {'bot_id': '500658624109084682'}, 'position': 13, 'permissions': '140660558848', 'name': 'Emoji.gg Bot', 'mentionable': False, 'managed': True, 'id': '1089945239113973934', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324306, 'unicode_emoji': None, 'tags': {'bot_id': '155149108183695360'}, 'position': 12, 'permissions': '6756913403751615', 'name': 'Dyno', 'mentionable': False, 'managed': True, 'id': '1121412273190223996', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324301, 'unicode_emoji': None, 'tags': {'bot_id': '995698729225027694'}, 'position': 11, 'permissions': '537250816', 'name': 'Fizbo', 'mentionable': False, 'managed': True, 'id': '1207291671071686698', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324299, 'unicode_emoji': None, 'tags': {}, 'position': 10, 'permissions': '533235326373441', 'name': 'a nigga', 'mentionable': False, 'managed': False, 'id': '1207742300948799568', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324296, 'unicode_emoji': None, 'tags': {'bot_id': '1164651057243238400'}, 'position': 9, 'permissions': '6755674318990336', 'name': 'FixTweet', 'mentionable': False, 'managed': True, 'id': '1241028047981772863', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324293, 'unicode_emoji': None, 'tags': {'bot_id': '842601826674540574'}, 'position': 8, 'permissions': '6755674855892992', 'name': 'Twitter Video Embeds', 'mentionable': False, 'managed': True, 'id': '1241028267905908810', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324290, 'unicode_emoji': None, 'tags': {'bot_id': '228537642583588864'}, 'position': 7, 'permissions': '8', 'name': 'Vexera', 'mentionable': False, 'managed': True, 'id': '1254423182832566294', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324288, 'unicode_emoji': None, 'tags': {'bot_id': '949479338275913799'}, 'position': 6, 'permissions': '274878024704', 'name': 'Make it a Quote', 'mentionable': False, 'managed': True, 'id': '1448637153771917533', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324285, 'unicode_emoji': None, 'tags': {'bot_id': '755582602366287882'}, 'position': 5, 'permissions': '6755811758304320', 'name': 'SnipeBot', 'mentionable': False, 'managed': True, 'id': '1457335800554328186', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324282, 'unicode_emoji': None, 'tags': {'bot_id': '1466414020935286839'}, 'position': 4, 'permissions': '7358224172182720', 'name': 'Galvin', 'mentionable': False, 'managed': True, 'id': '1466416000080805943', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956324279, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '0', 'name': 'new role', 'mentionable': False, 'managed': False, 'id': '1466422542272299160', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956591951, 'unicode_emoji': None, 'tags': {'bot_id': '1467405172832604284'}, 'position': 2, 'permissions': '7318489249867840', 'name': 'Anteiku Bot', 'mentionable': False, 'managed': True, 'id': '1467409934575730886', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769956325149, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Bump Ping', 'mentionable': False, 'managed': False, 'id': '1467527865300947168', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 7419530}, 'color': 7419530}], 'premium_subscription_count': 0, 'threads': [], 'max_stage_video_channel_users': 50, 'emojis': [{'version': 1707913915528, 'roles': [], 'require_colons': True, 'name': 'chinesebruhcat', 'managed': False, 'id': '1207303208402423818', 'available': True, 'animated': False}, {'version': 1710087805189, 'roles': [], 'require_colons': True, 'name': 'download7', 'managed': False, 'id': '1216421162498916465', 'available': True, 'animated': False}, {'version': 1716029511491, 'roles': [], 'require_colons': True, 'name': 'ultrakillminosprime', 'managed': False, 'id': '1241342484978864158', 'available': True, 'animated': True}, {'version': 1727564668790, 'roles': [], 'require_colons': True, 'name': 'emoji_4', 'managed': False, 'id': '1289724441370038303', 'available': True, 'animated': False}, {'version': 1748384900710, 'roles': [], 'require_colons': True, 'name': 'mewko', 'managed': False, 'id': '1377050776421273600', 'available': True, 'animated': False}, {'version': 1750712835705, 'roles': [], 'require_colons': True, 'name': 'mogko', 'managed': False, 'id': '1386814833910874112', 'available': True, 'animated': False}, {'version': 1750712982505, 'roles': [], 'require_colons': True, 'name': 'mogko2', 'managed': False, 'id': '1386815415581151352', 'available': True, 'animated': False}, {'version': 1756991839241, 'roles': [], 'require_colons': True, 'name': 'bakicry', 'managed': False, 'id': '1413150911496454154', 'available': True, 'animated': False}], 'application_command_counts': {}, 'channels': [{'version': 1769956300824, 'type': 4, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'name': 'Text Channels', 'id': '1031536122842587166', 'flags': 0}, {'version': 1769956300834, 'type': 4, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'name': 'Voice Channels', 'id': '1031536122842587167', 'flags': 0}, {'version': 1769956300847, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1031536122842587166', 'nsfw': False, 'name': 'general', 'last_message_id': '1467409935410401545', 'id': '1031536122842587168', 'flags': 0}, {'version': 1769956300853, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1031536122842587167', 'nsfw': False, 'name': 'General', 'last_message_id': None, 'id': '1031536122842587169', 'flags': 0, 'bitrate': 64000}, {'version': 1769956300858, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1031536122842587166', 'nsfw': False, 'name': 'notes', 'last_pin_timestamp': '2024-05-29T12:10:26+00:00', 'last_message_id': '1459867031766568981', 'id': '1089945480030597130', 'flags': 0}, {'version': 1769956300862, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1031536122179887144', 'deny': '2048', 'allow': '0'}], 'parent_id': None, 'nsfw': False, 'name': 'rules', 'last_message_id': '1441115388573126676', 'id': '1105176919143620720', 'flags': 0}, {'version': 1769956300867, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1031536122179887144', 'deny': '1024', 'allow': '0'}], 'parent_id': None, 'nsfw': False, 'name': 'moderator-only', 'last_message_id': '1443519292594458746', 'id': '1105176919143620721', 'flags': 0}, {'version': 1769956300870, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1031536122842587166', 'nsfw': False, 'name': 'idk', 'last_message_id': '1429851903256301669', 'id': '1207292014446518292', 'flags': 0}, {'version': 1769956300874, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1031536122842587166', 'nsfw': False, 'name': 'cloud', 'last_message_id': '1444358891654746236', 'id': '1232394505726984284', 'flags': 0}, {'version': 1769956300879, 'type': 4, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1031536122179887144', 'deny': '1049600', 'allow': '0'}, {'type': 0, 'id': '1072894945742037033', 'deny': '0', 'allow': '1049600'}], 'parent_id': None, 'name': 'Temenos_security', 'id': '1385610397293219891', 'flags': 0}, {'version': 1769956300885, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [{'type': 0, 'id': '1031536122179887144', 'deny': '1049600', 'allow': '0'}, {'type': 0, 'id': '1072894945742037033', 'deny': '0', 'allow': '1049600'}], 'parent_id': '1385610397293219891', 'nsfw': False, 'name': '⭐temenos_logs', 'last_message_id': '1467529095813529653', 'id': '1385610467640082603', 'flags': 0}, {'version': 1769956300891, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [{'type': 0, 'id': '1121412273190223996', 'deny': '0', 'allow': '536870912'}], 'parent_id': '1031536122842587166', 'nsfw': False, 'name': 'starbord', 'last_message_id': '1385618398083551303', 'id': '1385616798631858247', 'flags': 0}, {'version': 1769956300895, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '1031536122842587166', 'nsfw': False, 'name': 'minecraft', 'last_message_id': '1463836254037868554', 'id': '1431365081307943032', 'flags': 0}, {'version': 1769956300900, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '1031536122842587166', 'nsfw': False, 'name': 'test_place', 'last_pin_timestamp': '2026-02-01T13:13:58.588000+00:00', 'last_message_id': '1467534656424378479', 'id': '1466423933698834566', 'flags': 0}], 'vanity_url_code': None, 'afk_timeout': 300, 'soundboard_sounds': [{'volume': 1.0, 'user_id': '918856336832335883', 'sound_id': '1226661577344811038', 'name': 'Homosexual', 'guild_id': '1031536122179887144', 'emoji_name': '💑', 'emoji_id': None, 'available': True}, {'volume': 0.5695235133171082, 'user_id': '918856336832335883', 'sound_id': '1230468475630125096', 'name': 'skibiditoilet', 'guild_id': '1031536122179887144', 'emoji_name': '🚽', 'emoji_id': None, 'available': True}, {'volume': 1.0, 'user_id': '918856336832335883', 'sound_id': '1230468586074669138', 'name': 'WhatTheSigma', 'guild_id': '1031536122179887144', 'emoji_name': '🗣️', 'emoji_id': None, 'available': True}, {'volume': 1.0, 'user_id': '918856336832335883', 'sound_id': '1241831524953751552', 'name': 'judgment', 'guild_id': '1031536122179887144', 'emoji_name': None, 'emoji_id': '1241342484978864158', 'available': True}, {'volume': 0.8285229802131653, 'user_id': '918856336832335883', 'sound_id': '1241832318230990909', 'name': 'minos theme', 'guild_id': '1031536122179887144', 'emoji_name': None, 'emoji_id': None, 'available': True}, {'volume': 1.0, 'user_id': '918856336832335883', 'sound_id': '1242203033148850286', 'name': 'minos prime DIE!', 'guild_id': '1031536122179887144', 'emoji_name': None, 'emoji_id': None, 'available': True}], 'voice_states': [], 'splash': None, 'large': False, 'application_id': None, 'description': None, 'moderator_reporting': None, 'activity_instances': [], 'presences': [], 'unavailable': False, 'premium_tier': 0, 'mfa_level': 0, 'hub_type': None, 'premium_progress_bar_enabled': False, 'inventory_settings': None, 'premium_progress_bar_enabled_user_updated_at': None, 'system_channel_id': '1031536122842587168', 'max_members': 25000000, 'owner_id': '918856336832335883', 'rules_channel_id': '1105176919143620720', 'joined_at': '2026-02-01T06:43:11.644594+00:00', 'embedded_activities': [], 'lazy': True, 'latest_onboarding_question_id': None, 'public_updates_channel_id': '1105176919143620721', 'nsfw_level': 0, 'premium_features': None, 'explicit_content_filter': 2, 'verification_level': 1, 'safety_alerts_channel_id': None, 'guild_scheduled_events': [], 'preferred_locale': 'en-US', 'version': 1769956300915, 'system_channel_flags': 0, 'afk_channel_id': None, 'stage_instances': [], 'features': ['BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE', 'COMMUNITY', 'SOUNDBOARD', 'NEWS', 'PIN_PERMISSION_MIGRATION_COMPLETE'], 'default_message_notifications': 1}}
[2026-02-01 18:08:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-01 18:08:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '346decd9aa34efc095fb2d6151a1f439', 'members': [{'user': {'username': 'Dyno', 'public_flags': 589824, 'primary_guild': None, 'id': '155149108183695360', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3861', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b4fdfc64edff74c37e1574d34fad66c2'}, 'roles': ['1121412273190223996'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-22T12:12:00.861000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Vexera', 'public_flags': 65536, 'primary_guild': None, 'id': '228537642583588864', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8487', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '855c102d556d5aa135716da398404980'}, 'roles': ['1254423182832566294'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-06-23T13:09:52.870000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Emoji.gg', 'public_flags': 65536, 'primary_guild': None, 'id': '500658624109084682', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7083', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a_032f5c4de61d7d06bc1c038d9d24d37c'}, 'roles': ['1089945239113973934'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-03-27T16:13:15.356000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'SnipeBot', 'public_flags': 65536, 'primary_guild': None, 'id': '755582602366287882', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3414', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '6cb66be3b798ef385d142f73ec26bcf9'}, 'roles': ['1457335800554328186'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-04T11:32:10.961000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Twitter Video Embeds', 'public_flags': 65536, 'primary_guild': None, 'id': '842601826674540574', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4945', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '6ed5bf10f953b22d47893b4655705b30'}, 'roles': ['1241028267905908810'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-17T14:03:16.359000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'pekogato', 'public_flags': 256, 'primary_guild': None, 'id': '918856336832335883', 'global_name': 'Peko', 'display_name_styles': None, 'display_name': 'Peko', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'palette': 'violet', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'expires_at': None, 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/'}}, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3b9bec60a958450cfa9370cd70b779f3'}, 'roles': ['1207742300948799568', '1072894945742037033', '1467527865300947168'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-10-17T11:56:16.584000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Make it a Quote', 'public_flags': 65536, 'primary_guild': None, 'id': '949479338275913799', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6660', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '820d3d1c01590537f676cf2547957b99'}, 'roles': ['1448637153771917533'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-11T11:26:51.939000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Fizbo', 'public_flags': 65536, 'primary_guild': None, 'id': '995698729225027694', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5552', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3ecf92892dd33b72c57d198afa52adf9'}, 'roles': ['1207291671071686698'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-14T11:46:04.829000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'FixTweet', 'public_flags': 65536, 'primary_guild': None, 'id': '1164651057243238400', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8596', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '561e3b761bf9ad317e2243d28e484793'}, 'roles': ['1241028047981772863'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-17T14:02:23.955000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Galvin', 'public_flags': 0, 'primary_guild': None, 'id': '1466414020935286839', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3316', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '1b444015a655db0edd50c2a1523cedb8'}, 'roles': ['1072894945742037033', '1466416000080805943'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-29T12:53:39.192000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Anteiku Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1467405172832604284', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9187', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '48e78957a14a1cd1472b803e09e18283'}, 'roles': ['1467409934575730886'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-01T06:43:11.644594+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1031536122179887144', 'chunk_index': 0, 'chunk_count': 1}}
[2026-02-01 18:08:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-01 18:08:29] [DEBUG   ] discord.state: Processed a chunk for 11 members in guild ID 1031536122179887144.
[2026-02-01 18:08:31] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-02-01 18:08:31] [DEBUG   ] discord.client: Dispatching event ready
[2026-02-01 18:09:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-02-01 18:09:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
